               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093412,            0.023067,            0.075126,            0.090288,             0.21464,            0.075419,            0.033163,            0.070714,            0.012873,            0.057925,           0.0032911,           0.0032911,             0.07038
                   1,            0.065338,            0.019916,            0.053915,              0.7141,             0.20701,             0.17519,            0.074959,            0.060825,           0.0099317,             0.03938,           0.0059686,           0.0059686,            0.039724
                   2,             0.06128,            0.018684,            0.044596,             0.54202,             0.29163,             0.22669,             0.10445,            0.058974,           0.0097455,            0.033613,           0.0079862,           0.0079862,           0.0084081
                   3,            0.056751,            0.019139,            0.039034,             0.29968,             0.25566,             0.15689,            0.066434,            0.060667,            0.010986,            0.038227,             0.00703,             0.00703,             0.00703
                   4,            0.053596,             0.01969,            0.038739,             0.34281,             0.25476,             0.17153,            0.082201,            0.056246,            0.011259,            0.040283,             0.00703,             0.00703,             0.00703
                   5,            0.051141,            0.019675,            0.037517,             0.23931,             0.31823,             0.20194,            0.099492,            0.055868,            0.010613,            0.035334,             0.00604,             0.00604,             0.00604
                   6,            0.049459,            0.019597,            0.033861,             0.28869,             0.32901,              0.2354,             0.12446,            0.053615,            0.010728,            0.033709,             0.00505,             0.00505,             0.00505
                   7,            0.045719,            0.019393,             0.03152,             0.36532,             0.33976,             0.27776,             0.15416,            0.050088,            0.010501,            0.030314,             0.00406,             0.00406,             0.00406
                   8,            0.043786,            0.019623,            0.026893,             0.42036,             0.33811,             0.30985,             0.18115,            0.047544,            0.010325,            0.027751,             0.00307,             0.00307,             0.00307
                   9,            0.040475,            0.018221,            0.024251,             0.38564,             0.40884,             0.34139,             0.20616,            0.045284,            0.010392,            0.026502,             0.00208,             0.00208,             0.00208
